DATOS;MARCA;MODELO;PRODUCTO;MOTOR;CILINDRADA;LITROS_A_USAR;LITROS_A_COMPRAR;CALCULO_4L;CANTIDAD_ENVASES_4LT;CALCULO_1LT;CANTIDAD_ENVASES_1LT;LITROS_REMANENTES;PRECIO_4LT;PRECIO_1LT;PRECIO_TOTAL_4LT;PRECIO_TOTAL_1LT;PRECIO_TOTAL
Peugeot 407 - 1.8  (Naftero);Peugeot;407;Elaion F50;Naftero;1.8;4,3;5;1,25;1;0,25;1;0,75;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 407 - 2.0  (Diesel);Peugeot;407;Elaion F50;Diesel;2.0;5,3;6;1,5;1;0,5;2;0,75;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Peugeot 407 - 2.0  (Naftero);Peugeot;407;Elaion F50;Naftero;2.0;4,3;5;1,25;1;0,25;1;0,75;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 407 - 2.2  (Diesel);Peugeot;407;Elaion F50;Diesel;2.2;5,3;6;1,5;1;0,5;2;0,75;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Peugeot 407 - 2.2  (Naftero);Peugeot;407;Elaion F50;Naftero;2.2;4,3;5;1,25;1;0,25;1;0,75;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 407 - 2.7  (Diesel);Peugeot;407;Elaion F50;Diesel;2.7;5,3;6;1,5;1;0,5;2;0,75;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Peugeot 407 - 3.0  (Naftero);Peugeot;407;Elaion F50;Naftero;3.0;4,8;5;1,25;1;0,25;1;0,25;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot 807 - 2.0  (Naftero);Peugeot;807;Elaion F30;Naftero;2.0;4,3;5;1,25;1;0,25;1;0,7;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Peugeot 807 - 2.0 hdi  (Diesel);Peugeot;807;Elaion F50;Diesel;2.0 hdi;5,0;5;1,25;1;0,25;1;0;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot Boxer - 2.8  (Diesel);Peugeot;Boxer;Elaion F50;Diesel;2.8;6,0;6;1,5;1;0,5;2;0;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Peugeot Expert - 1.6 hdi  (Diesel);Peugeot;Expert;Elaion F50;Diesel;1.6 hdi;4,8;5;1,25;1;0,25;1;0,2;$ 625,00;$ 163,00;$ 625,00;$ 163,00;$ 788,00
Peugeot Expert - 2.0 hdi  (Diesel);Peugeot;Expert;Elaion F50;Diesel;2.0 hdi;6,0;6;1,5;1;0,5;2;0;$ 625,00;$ 163,00;$ 625,00;$ 326,00;$ 951,00
Porsche 911 Carrera - 3.6  (Naftero);Porsche;911 Carrera;Elaion F50;Naftero;3.6;7,5;8;2;2;0;0;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Porsche 911 Turbo - 3.6  (Naftero);Porsche;911 Turbo;Elaion F50;Naftero;3.6;7,5;8;2;2;0;0;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Porsche Boxster - 2.5  (Naftero);Porsche;Boxster;Elaion F50;Naftero;2.5;7,5;8;2;2;0;0;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Porsche Boxster S - 2.7  (Naftero);Porsche;Boxster S;Elaion F50;Naftero;2.7;7,5;8;2;2;0;0;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Porsche Boxster Spider - 3.2  (Naftero);Porsche;Boxster Spider;Elaion F50;Naftero;3.2;7,5;8;2;2;0;0;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Porsche Cayenne - 3.0  (Diesel);Porsche;Cayenne;Elaion SUV;Diesel;3.0;9,0;9;2,25;2;0,25;1;0;$ 682,00;$ 174,00;$ 1.364,00;$ 174,00;$ 1.538,00
Porsche Cayenne - 3.6  (Naftero);Porsche;Cayenne;Elaion SUV;Naftero;3.6;6,9;7;1,75;1;0,75;3;0,1;$ 682,00;$ 174,00;$ 682,00;$ 522,00;$ 1.204,00
Porsche Cayenne Turbo - 4.8  (Naftero);Porsche;Cayenne Turbo;Elaion SUV;Naftero;4.8;9,0;9;2,25;2;0,25;1;0;$ 682,00;$ 174,00;$ 1.364,00;$ 174,00;$ 1.538,00
Porsche Cayman - 2.7  (Naftero);Porsche;Cayman;Elaion F50;Naftero;2.7;7,5;8;2;2;0;0;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Porsche Cayman S - 3.4  (Naftero);Porsche;Cayman S;Elaion F50;Naftero;3.4;7,5;8;2;2;0;0;0,5;$ 625,00;$ 163,00;$ 1.250,00;$ 0,00;$ 1.250,00
Porsche Panemera - 3.6  (Naftero);Porsche;Panemera;Elaion F50;Naftero;3.6;9,0;9;2,25;2;0,25;1;0;$ 625,00;$ 163,00;$ 1.250,00;$ 163,00;$ 1.413,00
Renault Clio - 1.6  (Naftero);Renault;Clio;Elaion F10;Naftero;1.6;3,8;4;1;1;0;0;0,2;$ 347,00;$ 90,00;$ 347,00;$ 0,00;$ 347,00
Renault Clio - 1.9  (Diesel);Renault;Clio;Elaion F10;Diesel;1.9;4,3;5;1,25;1;0,25;1;0,7;$ 347,00;$ 90,00;$ 347,00;$ 90,00;$ 437,00
Renault Clio II - 1.2  (Naftero);Renault;Clio II;Elaion F30;Naftero;1.2;4,0;4;1;1;0;0;0;$ 452,00;$ 117,00;$ 452,00;$ 0,00;$ 452,00
Renault Clio II - 1.5 dsi  (Diesel);Renault;Clio II;Elaion F30;Diesel;1.5 dsi;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
Renault Clio II - 1.6  (Naftero);Renault;Clio II;Elaion F30;Naftero;1.6;4,5;5;1,25;1;0,25;1;0,5;$ 452,00;$ 117,00;$ 452,00;$ 117,00;$ 569,00
